Accounts,Sap,Name,RM,Status,Principal (MYR),Facility,BNM Facility Type,Oil and Gas,Oil and Gas Segmentation,R&R,Purpose of Financing
330801137122043900,501161,ANN JOO INTEGRATED STEEL SDN BHD,,Active,2977127.7,LC -i / TR- i ( Multi Option Facility ),Multi-Option Facility,Others,Midstream,New,To part finance the working capital requirement for the purchase of materials related to nature of business which is Shariah compliant
330801137107043000,501185,SAGE PROMASTER SDN BHD,"",Active,899931.6,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,To finance a maximum of RM1.0 M of the working capital requirement.
330805013107043800,501262,SKS CLAREMONT PTY LTD,"",Active,13765000,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"To redeem the existing NAB Corporate Market Loan (""the Refinanced Facility"") from National Bank Australia up to AUD5,000,000"
330801137110043700,501225,SUNNITE TIMUR SDN BHD,"",Active,257306.8,Supplier Financing - i (Revolving) (Pre& Post),Other Trade Facilities,Others,Not Applicable,New,"To finance working capital requirements for the purchase of raw materials, parts, goods, trading and sales of goods, products, services and others related to nature of business which is Shariah compliant as approved by the Bank."
330802205107044100,"",YINSON GLOBAL CORPORATION (S) PTE LTD,"",Active,42630000,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"1.	To redeem the existing outstanding exposure of Yinson International Pte Ltd with EXIM Bank.

2.	To finance the general working capital purposes, including but not limited to the financing of overseas project under Yinson Renewables Pte Ltd and Yinson Green Technologies Pte Ltd, including financing of the Customer's Legal Fees, placement of cash in the EXIM Bank's Finance Service Reserve Account (""FSRA"") and other fee associated with the proposed Facility."
