Accounts,Sap,Name,RM,Status,Principal (MYR),Facility,BNM Facility Type,Oil and Gas,Oil and Gas Segmentation,R&R,Purpose of Financing
330801137117031300,"",ASIA CARGO NETWORK SDN BHD,Irwan Budi bin Alias,Active-Watchlist,0,Bank Guarantee -i (Trade),Financial Guarantee-Trade,Others,Not Applicable,New,For issuance of Bank Guarantee in favour of the vendors namely Shell Malaysia Trading Sdn Bhd and Petronas Dagangan Berhad under the Management Service Agreement (MSA)  to supply petroleum products/fuel consumptions to World Cargo Airlines Sdn Bhd (WCA).
330801137107027300,501050,INGRESS INDUSTRIAL (MALAYSIA) SDN BHD,Hanaffy Khairil Hezzery Bin Ramli,Active,106750123.54,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"To part finance the capital expenditure for a new automotive manufacturing plant in Cikarang, Indonesia (Cikarang Plant or Project) which will be owned and operated by PT Ingress Industrial Indonesia (PTIII) and other tenants, which includes PT Ingress Malindo Venture (PTIMV) and PT Ingress Technologies Indonesia (PTITI)."
330802137200030100,501098,Sarawak PetChem Sdn Bhd,Muhammad Hafani bin Mohd Hussain,Active,64088102.39,Term Loan,Project Financing,Others,Not Applicable,New,Cancellation of remaining balance of USD21.0 million pursuant to the Bank's allocation of USD19.0 million against the original approved limit of US40.0 million
330801137107028100,501070,SMH RAIL SDN BHD,Ahmad Syukri bin Abdullah,Active,5574418.03,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,"To approve Term Financing-i of RM17,000,000 to purchase of 
equipment and machineries (Facility 7 Request) [Sub-limit : Letter of Credit-i (LC-i) of RM17,000,000 to facilitate purchase of equipments and machineries above]"
330802137104028900,501079,SMH RAIL SDN BHD,Ahmad Syukri bin Abdullah,Active,18068444.99,Contract Financing Overseas- i,Other Term Loans/Financing,Others,Not Applicable,New,"To part finance the raw materials, overhead expenses, working capital and other expenses related to its contract with Mumbai Metropolitan Regional Development Authority (Mumbai Monorail Project)"
330805137107034700,501158,TABCO FOOD SERVICES SDN BHD,Nurin Akmar Zulkifli,Active-Watchlist,3417513.06,Term Financing - i,Other Term Loans/Financing,Others,Not Applicable,New,To part finance up to 90% of the project cost for the setting up of the Restaurant (located in Terminal 2 Melbourne International Airport) operated by Tabco Food Services Pty Ltd
